
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
384,Jeffrey Schlupp,gh GHA,MF,Crystal Palace,29-319,1992,11.2,305,385,79.2,4964,1205,139,166,83.7,127,148,85.8,25,42,59.5,0,0.3,0.3,-0.3,5,30,5,0,19,Matches,3312f911
385,Nélson Semedo,pt POR,DF,Wolves,28-356,1993,6.8,242,296,81.8,3881,1230,134,147,91.2,82,103,79.6,20,32,62.5,1,0.2,0.2,+0.8,5,19,5,2,12,Matches,d04b94db
386,Marcos Senesi,ar ARG,DF,Bournemouth,25-181,1997,9.4,342,425,80.5,7032,3372,102,117,87.2,191,220,86.8,43,72,59.7,0,0.2,0.2,-0.2,3,33,2,1,11,Matches,35141f4c
387,Ryan Sessegnon,eng ENG,DF,Tottenham,22-173,2000,7.4,232,327,70.9,3418,891,142,171,83.0,72,108,66.7,13,25,52.0,0,0.7,0.7,-0.7,5,15,8,3,14,Matches,6aa3e78b
388,Luke Shaw,eng ENG,DF,Manchester Utd,27-118,1995,7.7,484,581,83.3,6956,2435,303,328,92.4,148,181,81.8,22,40,55.0,1,0.9,0.7,+0.1,11,52,9,3,32,Matches,9c94165b
389,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,30-253,1992,0.4,19,26,73.1,442,176,5,6,83.3,8,10,80.0,4,8,50.0,0,0.0,0.0,0.0,0,4,0,0,2,Matches,3727dd3c
390,Bernardo Silva,pt POR,MFFW,Manchester City,28-089,1994,10.9,580,663,87.5,9556,1664,305,327,93.3,210,232,90.5,45,64,70.3,5,1.6,1.9,+3.4,17,33,18,5,37,Matches,3eb22ec9
391,Thiago Silva,br BRA,DF,Chelsea,38-046,1984,11.0,739,830,89.0,14443,6005,252,267,94.4,404,422,95.7,78,125,62.4,2,0.4,0.3,+1.6,3,50,7,0,40,Matches,86e7deaf
392,Luis Sinisterra,co COL,MF,Leeds United,23-143,1999,5.0,162,195,83.1,2297,597,82,95,86.3,53,59,89.8,8,10,80.0,0,0.2,0.4,-0.2,4,11,8,1,21,Matches,8e16dd48
393,Oliver Skipp,eng ENG,MF,Tottenham,22-052,2000,1.4,39,57,68.4,577,128,22,26,84.6,16,20,80.0,1,3,33.3,0,0.2,0.1,-0.2,3,2,3,1,5,Matches,6250083a
394,Adam Smith,eng ENG,DF,Bournemouth,31-192,1991,13.5,450,570,78.9,7702,3335,213,233,91.4,189,225,84.0,41,90,45.6,1,0.3,0.7,+0.7,5,37,13,8,28,Matches,20b104bc
395,Emile Smith Rowe,eng ENG,MF,Arsenal,22-102,2000,0.6,19,22,86.4,279,75,9,9,100.0,7,7,100.0,2,3,66.7,0,0.3,0.2,-0.3,3,1,2,0,2,Matches,17695062
396,Cédric Soares,pt POR,DF,Arsenal,31-068,1991,0.3,19,23,82.6,257,54,10,10,100.0,8,10,80.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,839c14e1
397,Dominic Solanke,eng ENG,FWMF,Bournemouth,25-054,1997,10.9,123,170,72.4,1614,319,80,99,80.8,32,40,80.0,7,9,77.8,3,1.0,0.8,+2.0,6,6,5,0,10,Matches,e77dc3b2
398,Manor Solomon,il ISR,MF,Fulham,23-106,1999,0.3,2,3,66.7,44,33,1,1,100.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches,886f9aac
399,Tomáš Souček,cz CZE,MF,West Ham,27-253,1995,13.7,388,502,77.3,6805,1953,172,215,80.0,155,185,83.8,43,58,74.1,1,0.6,0.5,+0.4,7,36,4,2,29,Matches,6613c819
400,Boubakary Soumaré,fr FRA,MF,Leicester City,23-253,1999,6.7,309,341,90.6,4578,1171,178,188,94.7,103,114,90.4,16,19,84.2,0,0.1,0.1,-0.1,1,25,0,0,19,Matches,ae59b359
401,Çağlar Söyüncü,tr TUR,DF,Leicester City,26-168,1996,0.8,39,47,83.0,667,208,17,18,94.4,21,24,87.5,1,5,20.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches,21166ff4
402,Djed Spence,eng ENG,DFMF,Tottenham,22-090,2000,0.0,3,5,60.0,39,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,9bc9a519
403,Jack Stacey,eng ENG,DFMF,Bournemouth,26-215,1996,1.5,33,54,61.1,539,214,18,21,85.7,12,19,63.2,3,9,33.3,0,0.0,0.0,0.0,0,3,1,1,1,Matches,558807c0
404,Junior Stanislas,eng ENG,MF,Bournemouth,32-346,1989,0.7,22,28,78.6,329,71,12,14,85.7,9,11,81.8,0,1,0.0,0,0.1,0.2,-0.1,2,3,0,0,2,Matches,6992791d
405,Jay Stansfield,eng ENG,MF,Fulham,19-348,2002,1.0,9,23,39.1,82,32,7,8,87.5,1,7,14.3,0,3,0.0,0,0.1,0.0,-0.1,1,0,0,0,0,Matches,b2626673
406,Jack Stephens,eng ENG,DF,Southampton,28-284,1994,0.5,23,28,82.1,398,107,9,10,90.0,13,17,76.5,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,2,Matches,6adbc307
