Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
26,Oliver Baumann,de GER,GK,Hoffenheim,32-160,1990,13.0,482,596,80.9,11617,7801,129,129,100.0,232,236,98.3,116,222,52.3,0,0.0,0.0,0.0,1,9,0,0,0,Matches,47064058
27,Timo Baumgartl,de GER,DF,Union Berlin,26-250,1996,3.5,157,192,81.8,2967,1157,62,67,92.5,82,89,92.1,13,35,37.1,0,0.1,0.1,-0.1,2,12,3,2,14,Matches,bd7d2e6d
28,Julian Baumgartlinger,at AUT,MF,Augsburg,34-311,1988,1.8,60,73,82.2,1119,274,23,30,76.7,29,32,90.6,7,8,87.5,0,0.0,0.0,0.0,0,4,1,0,4,Matches,69374ff5
29,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,23-100,1999,10.8,237,343,69.1,3812,1154,119,154,77.3,89,115,77.4,18,30,60.0,2,2.0,1.9,0.0,7,30,11,0,29,Matches,437f2b00
30,Sheraldo Becker,sr SUR,FW,Union Berlin,27-273,1995,10.3,138,223,61.9,2423,615,56,82,68.3,51,74,68.9,22,34,64.7,3,1.7,2.2,+1.3,20,6,23,14,15,Matches,8eb55dbb
31,Kevin Behrens,de GER,FW,Union Berlin,31-279,1991,3.4,71,112,63.4,987,290,37,51,72.5,27,36,75.0,2,3,66.7,1,0.2,0.3,+0.8,4,6,9,0,15,Matches,30ae134d
32,Stefan Bell,de GER,DF,Mainz 05,31-077,1991,8.3,337,428,78.7,6249,2989,132,149,88.6,155,176,88.1,46,82,56.1,0,0.3,0.4,-0.3,5,24,5,1,29,Matches,857a5abe
33,Karim Bellarabi,de GER,FW,Leverkusen,32-215,1990,0.5,6,13,46.2,65,27,5,7,71.4,1,5,20.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,bee0bab1
34,Jude Bellingham,eng ENG,MF,Dortmund,19-133,2003,14.0,583,727,80.2,10215,3320,249,297,83.8,231,266,86.8,72,105,68.6,1,1.2,1.3,-0.2,12,75,20,1,79,Matches,57d88cf9
35,Ramy Bensebaini,dz ALG,DF,M'Gladbach,27-207,1995,12.9,516,667,77.4,8902,3083,253,280,90.4,198,242,81.8,53,96,55.2,0,1.4,1.3,-1.4,8,36,15,0,37,Matches,378825c7
36,Mergim Berisha,de GER,FW,Augsburg,24-182,1998,7.4,68,160,42.5,1210,562,29,53,54.7,26,53,49.1,10,34,29.4,4,2.3,2.2,+1.7,12,12,5,3,13,Matches,eb6e14be
37,Tom Bischof,de GER,FW,Hoffenheim,17-134,2005,0.2,6,8,75.0,51,6,6,7,85.7,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,07d3bfec
38,Leonardo Bittencourt,de GER,MF,Werder Bremen,28-325,1993,5.6,177,235,75.3,2763,602,96,109,88.1,64,81,79.0,11,25,44.0,0,0.3,0.3,-0.3,4,17,7,0,13,Matches,dc62fbee
39,Janis Blaswich,de GER,GK,RB Leipzig,31-191,1991,6.0,199,222,89.6,4280,2390,56,56,100.0,112,112,100.0,31,54,57.4,0,0.0,0.0,0.0,0,0,0,0,1,Matches,663e080e
40,Kevin-Prince Boateng,gh GHA,MF,Hertha BSC,35-248,1987,1.1,45,59,76.3,747,235,25,27,92.6,16,22,72.7,4,5,80.0,0,0.0,0.0,0.0,0,3,0,0,2,Matches,f4ec4fd0
41,Jean-Paul Boëtius,nl NED,MFFW,Hertha BSC,28-232,1994,5.5,139,191,72.8,2501,992,58,73,79.5,57,76,75.0,17,27,63.0,0,0.5,0.4,-0.5,7,16,4,0,25,Matches,635f2732
42,Yvandro Borges Sanches,lu LUX,FWMF,M'Gladbach,18-169,2004,0.3,8,9,88.9,113,17,2,2,100.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,0,Matches,36578017
43,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,23-232,1999,7.1,272,333,81.7,5493,2120,82,96,85.4,159,178,89.3,30,52,57.7,0,0.0,0.0,0.0,0,15,0,0,16,Matches,01834aa0
